query,lang_from,lang_to,mode,concept,position,lang,word,score,d,relation
água,pt,en,Hibrido,AGUA,1,en,water,0.044433,0.0,same
água,pt,en,Hibrido,AGUA,2,en,sea,0.208357,0.179,related
água,pt,en,Hibrido,AGUA,3,en,river,0.362163,0.37,related
água,pt,en,Hibrido,AGUA,4,en,foodstuff,0.530992,0.599,None
água,pt,en,Hibrido,AGUA,5,en,nutrient,0.536666,0.599,None
água,pt,en,Legado,AGUA,1,en,devotion,,,
água,pt,en,Legado,AGUA,2,en,water,,,
water,en,pt,Hibrido,AGUA,1,pt,água,0.044433,0.0,same
water,en,pt,Hibrido,AGUA,2,pt,mar,0.22139,0.179,related
water,en,pt,Hibrido,AGUA,3,pt,riacho,0.34403,0.37,related
water,en,pt,Hibrido,AGUA,4,pt,nutriente,0.529409,0.599,None
water,en,pt,Hibrido,AGUA,5,pt,comida,0.533399,0.599,None
sea,en,pt,Hibrido,AGUA,1,pt,mar,0.046133,0.0,same
sea,en,pt,Hibrido,AGUA,2,pt,água,0.21029,0.179,related
sea,en,pt,Hibrido,AGUA,3,pt,riacho,0.233445,0.213,None
sea,en,pt,Hibrido,AGUA,4,pt,alimento,0.56768,0.642,None
sea,en,pt,Hibrido,AGUA,5,pt,comida,0.579393,0.642,None
rio,pt,en,Hibrido,AGUA,1,en,river,0.047,0.0,same
rio,pt,en,Hibrido,AGUA,2,en,sea,0.225812,0.213,related
rio,pt,en,Hibrido,AGUA,3,en,water,0.363063,0.37,related
rio,pt,en,Hibrido,AGUA,4,en,light,0.58236,0.671,None
rio,pt,en,Hibrido,AGUA,5,en,food,0.621278,0.728,None
comida,pt,en,Hibrido,COMIDA,1,en,foodstuff,0.043567,0.0,same
comida,pt,en,Hibrido,COMIDA,2,en,nutrient,0.04789,0.0,related
comida,pt,en,Hibrido,COMIDA,3,en,food,0.054124,0.0,same
comida,pt,en,Hibrido,COMIDA,4,en,meal,0.343127,0.365,related
comida,pt,en,Hibrido,COMIDA,5,en,light,0.468043,0.509,None
comida,pt,en,Legado,COMIDA,1,en,residence,,,
comida,pt,en,Legado,COMIDA,2,en,life,,,
comida,pt,en,Legado,COMIDA,3,en,living,,,
comida,pt,en,Legado,COMIDA,4,en,home,,,
comida,pt,en,Legado,COMIDA,5,en,waters,,,
food,en,pt,Hibrido,COMIDA,1,pt,comida,0.052724,0.0,same
